publication_frequency_text	publication_frequency_annual	original_frequency	original_interval	original_time	Count
Total count (na.rm TRUE): 	3140				
month	NA	2 nr/månad (1856-1859). 1 nr/månad (1860-186?)	årg. 1(1856)-7(1862)	1856-1862	1
Irregular	NA	oregelbunden	nr 1 = 1917: nov. ; 1918: febr	1917-1918?	1
Irregular	NA	oregelbunden	1934: nr 1	1934	1
Irregular	NA	oregelbunden	1920-1925 ; [1926]	1920-1926;1920-1921;1925-1926	1
Irregular	NA	oregelbunden	1905: nr 1-nr 4	1904-1905	1
Irregular	NA	oregelbunden	1930: maj ; 1930: pingstnr	1930	1
Irregular	NA	oregelbunden	1933: nr 1-nr 2	1933	1
Irregular	NA	oregelbunden	1925: nr 1-nr 5	1925	1
Irregular	NA	oregelbunden	nr 2-nr 3	1909	1
Irregular	NA	oregelbunden	[nr 1]-nr 4 ; årg. 3(1937): nr 1 ; [årg. 4(1939)]	1935-1939	1
Irregular	NA	oregelbunden	nr 1-nr 6 = 1898-1902 ; 1903-1928	1898-1928	1
month	NA	2 nr/månad (1 och 4 kvartalet), 1 nr/kvartal (2 och 3 kvartalet)	1920: nr 1-nr 27	1920	1
Irregular	NA	oregelbunden	1924: nr 1-nr 2 ; [1924]: majnr	1924	1
Irregular	NA	oregelbunden	nr 1-nr 5	1922-1925	1
Irregular	NA	oregelbunden	nr 1-nr 4	1929-1930	1
Irregular	NA	oregelbunden	[nr 1]-nr 7 ; 1955 ; 1956: midsommarnr-1970: sommarnr	1946-1970;1946-1959;1959-1968;1970	1
Irregular	NA	oregelbunden	årg. 1(1952): nr 1-nr 2 ; 1953: nr 1 ; 1953: hösten ; 1954: nyåret ; specialnr	1952-1955	1
Irregular	NA	oregelbunden	1932: nr 1-1951: nr 7 ; 1952: dec.-1953: dec	1932-1953	1
Irregular	NA	oregelbunden	1952: nr 1-nr 2 ; årg. 2(1953): nr 1-årg. 3(1954): nr 1	1952-1954	1
Irregular	NA	oregelbunden	1926: nr 1 ; 1929: april	1926-1929	1
Irregular	NA	oregelbunden	1922: nr 1-nr 3	1922	1
Irregular	NA	oregelbunden	årg. 1(1938): nr 3-nr 4/5 ; 1939: nr 1-1943: nr 3	1938-1943	1
Irregular	NA	oregelbunden	1892-[1898] ; nr 1-nr 22	1892-1941	1
Irregular	NA	oregelbunden	årg. 1(1939): nr 1-nr 4	1939	1
Irregular	NA	oregelbunden	nr 1-nr 5? ; 1911: nr 1-1918: nr 4	1898-1918	1
Irregular	NA	oregelbunden	1949/1950 ; no. 2-no. 6 ; no. 7-no. 8 = 1954/1955-1955/1956 ; no. 9-no. 15 = 1957-1969	1949-1969	1
Irregular	NA	oregelbunden	1913: julnr ; årg. 1(1914): nr 1-årg. 4(1917): nr 6 ; årg. 5(1920): okt. ; årg. 4 [dvs 6](1935): nr 1-nr 2	1913-1935;1916-1917;1920;1913-1915, 1935	1
Irregular	NA	oregelbunden	1948: nr 1-1950: nr 1	1948-1950	1
Irregular	NA	oregelbunden	1916: nr 1/2 ; årg. 2(1934): nr 1-årg. 17(1949): nr 1	1916-1949	1
Irregular	NA	oregelbunden	årg. 1(1923): nr 1-årg. 8(1930): nr 12 ; 1936: dec. ; 1938: nr 1-nr 4 ; 1940: julnr-1941: julnr ; 1942: jubileumsnr ; 1943: mars-dec. ; 1944: julen ; årg. 23(1945): mars-årg. 25(1947): jan. ; 1954: febr	1923-1954	1
Irregular	NA	oregelbunden	1944: provnr ; årg. 1945: 1 juni-årg. 1946: 16 okt	1944-1946	1
