Name	Count
Total count: 	572
Årlig	217
Varannan månad	191
Varannan vecka	140
Vart tredje år	  3
Vart femte år	  2
1 år/år	  1
1 nr/varannan månad	  1
16 nr/termin	  1
32 s.	  1
4 h./år	  1
4 hft / år	  1
4 nr/termin	  1
6-7 pl./år	  1
Ca 11 nr/år + årsvol.	  1
Ca var tredje dag så länge kryssningarna varar	  1
Ett nr/mån	  1
Ett nr/vartannat år	  1
Irregular	  1
Tidigare 1 nr vart tredje år, nu 1 nr/år	  1
Varje vecka	  1
Vart tredje år-1 nr/år	  1
Vart tredje till vart fjärde år	  1
Vartannat eller vart trejde år	  1
Vartannat till vart tredje år	  1
