Name	Count
Total count: 	2789
year	1228
month	 688
Annual	 276
week	 259
Irregular	 193
Every two Years	  45
Every six Months	  38
Every three Years	  17
Every four Months	  10
Every three Months	   7
Every five Years	   4
Every One or Two Years	   3
Every two months	   3
Daily	   2
Every four Years	   2
Five per Year	   2
Seven per Year	   2
0.0288461538461538	   1
0.0714285714285714	   1
0.0769230769230769	   1
0.0842105263157895	   1
0.0909090909090909	   1
0.0927835051546392	   1
0.125	   1
0.173913043478261	   1
9.71428571428571	   1
Monthly	   1
