Name	Count
Total count: 	646
1-4	11
1-12	 9
1-10	 8
1-3	 8
Nr 1-nr 3	 8
1-6	 7
Nr 1-nr 5	 7
[19--?]-	 6
1-20	 6
1-7	 6
1-9	 6
Nr 1-nr 2	 6
1-11	 5
1-13	 5
1-19	 5
1-5	 5
1-8	 5
1-16	 4
1-24	 4
1-25	 4
1-36	 4
Årg. 1-5	 4
Årg. 1-6	 4
Nr 1-nr 10	 4
Nr 1-nr 12	 4
Nr 1-nr 4	 4
[1]-10	 3
[19---?]	 3
1-14	 3
1-15	 3
1-17	 3
1-2	 3
1-22	 3
1-29	 3
1-33	 3
1-39	 3
1-42	 3
Årg. 1-10	 3
Årg. 1-13	 3
Årg. 1-3	 3
Bd 1-7	 3
Bd 12-28	 3
Nr 1-22	 3
Nr 1-nr 7	 3
Nr 1-nr 9	 3
[19--?]	 2
1-18	 2
1-23	 2
1-26	 2
1-28	 2
1-37	 2
1-43	 2
1-44	 2
1-50	 2
1-51	 2
1-58	 2
1-68	 2
1-79	 2
1:1-	 2
1904: jan.-1911: dec.	 2
Årg. 1-25	 2
Årg. 1-44	 2
Årg. 1-53	 2
Bd 1-bd 11	 2
H. 1-2	 2
H. 1-3	 2
H. 1-h. 12	 2
H. 1-h. 8	 2
N:o 1	 2
Nr 1-14	 2
Nr 1-24	 2
Nr 1-28	 2
Nr 1-43	 2
Nr 1-nr 14	 2
Nr 1-nr 15	 2
Nr 1-nr 35	 2
Vol. 1-8	 2
[1-]15-81	 1
[1]-11	 1
[1]-13	 1
[1]-14	 1
[1]-19	 1
[1]-45	 1
[1]-55	 1
[1]-73	 1
[1]-83	 1
[18---?]	 1
[18--?]	 1
[18--]-	 1
[186-]-	 1
[189-]-[19--]	 1
[19]69: sept.-[19]70: sept.	 1
[19]70:1-2001:1	 1
[1916]:jan.-1918:juli/dec.	 1
[1948:1-1948:2] ; 1948:3-1967:4	 1
[1A]-88A	 1
[Årg. 1]-93	 1
[Årg. 1](1904)-[16](1919/1920)	 1
[Årg. 1](1916)-[årg. 3](1918) ; årg. 4(1919)-årg. 40(1955/1956)	 1
[Årg. 1](1924)-årg. 25(1971/72)	 1
[Årg. 1](1946)-årg. 12(1959/60)	 1
[Bd 1]1810: julii-Bd 6: h. 3	 1
[Nr 1-14?]	 1
[Nr 1] ; 1:sta majnr	 1
[Nr 1]-nr 15	 1
[Nr 1]-nr 2	 1
[Nr 1]-nr 5	 1
[Nr 1]-nr 69	 1
[Nr] 1-nr 10	 1
[Uppl. 1]-42	 1
1-10, 12, 18-26	 1
1-15.	 1
1-2, 4-10	 1
1-21	 1
1-27	 1
1-3 [Utk. i 43 hfn.]	 1
1-31/32	 1
1-32	 1
1-34	 1
1-38	 1
1-40	 1
1-40 B	 1
1-40; 1966; 1996	 1
1-41	 1
1-45	 1
1-46	 1
1-47	 1
1-49	 1
1-52	 1
1-53	 1
1-56	 1
1-62	 1
1-64	 1
1-66	 1
1-67	 1
1-69	 1
1-73	 1
1-77	 1
1-80	 1
1-97	 1
1-nr 97	 1
1(1888)-49/50(1970/71)	 1
1(1891)-4(1894/1895)	 1
1(1923)-16(1939/40)	 1
1(1949)-25(2000/2002)	 1
1/3-17	 1
11-20	 1
11-33 ; 34- = 1973/74-	 1
11-70	 1
1764:7/1-1765:24/12	 1
1823:vårterminen-1967:vårterminen	 1
1829-1823	 1
1849/1850-	 1
1871: juni-1872: sept.	 1
1875: jan-1888: dec.	 1
1889: jan.-1901: juli	 1
1890:1-1893:12	 1
1891:h.t.-1954:v.t.	 1
1893:jan.-1945:nov./dec.	 1
1901: aug.-1903: dec.	 1
1902: maj-1908: jan.	 1
1902/1903-	 1
1903:höstterminen-1960:vårterminen	 1
1906: juli/sept.-1909: april/juni	 1
1910: juni-1923: nov.	 1
1910:mars/april-april/juni	 1
1911: jan.-1912: dec.	 1
1912/13-	 1
1914:1-1935:4	 1
1914:1-1965:4	 1
1915: nr 8/9-10/11 ; 1916: nr 1/2	 1
1915:dec.-1930:mars/april	 1
1918/1919-	 1
1919:dec.-1926:sept.	 1
1920: mars-juni	 1
1921: juli-1922: juni	 1
1922: jan.-febr.	 1
1922: juli-aug.	 1
1922:1-	 1
1924: julen-1926: julen	 1
1924:maj-1926:nov./dec.	 1
1924/1925: vintermodeller ; 1925: vår- och sommarmodeller	 1
1926:1. kvartalet-1939:2. kvartalet	 1
1929: nr 1/2-1931: nr 1/4	 1
1930:jan.-sep.	 1
1931:dec.-1933:april/maj	 1
1931:julnr-1935:julnr ; 1936:julen ; 1937:julnr-1938:julnr ; 1939:julen	 1
1932:mars-sept.	 1
1932/1934-	 1
1932/33-	 1
1935/36: hösten/vintern-1939/1940: hösten/vintern	 1
1936/1937-1939/1940 ; 1941:hösten-1942:våren	 1
1939: jan.-	 1
1941: våren-1944: våren	 1
1945: dec-1951: dec.	 1
1945: sept.-1946: okt. ; 1951: minnesnr	 1
1945:april-1947:juni	 1
1945/1946-	 1
1946:1-1948:4	 1
1947: jan.-1948: sept.	 1
1948: vintern-1952: hösten/vintern	 1
1949: jan.-maj	 1
1949: mars-1955: dec.	 1
1949:autumn-1950:summer ; vol. 3-vol. 7	 1
1949/50-	 1
1950: dec.-1952: okt.	 1
1951:1-1953:5	 1
1952: nr 1/40-1971: nr 26/28	 1
1968:1-1972:4	 1
1970:1-1975:2	 1
1971:1-1976:5	 1
1978:1-1986:1	 1
1985:1-1988:17	 1
21-40	 1
21-50	 1
3-4	 1
3-52	 1
3-8	 1
3. F., 1-14	 1
31-59	 1
34-52	 1
45-95	 1
47-51	 1
5-15	 1
58-79	 1
7-017	 1
7-19	 1
9-25	 1
Årg 1(1944/1945): nr 1	 1
Årg. [1-] 4	 1
Årg. [1]-13	 1
Årg. [1]-7	 1
Årg. [1](1856)-årg. 118(1973/74)	 1
Årg. [1](1919)-årg. 53(1970/71)	 1
Årg. 1-[9?]	 1
Årg. 1-11	 1
Årg. 1-12	 1
Årg. 1-15	 1
Årg. 1-16	 1
Årg. 1-17	 1
Årg. 1-18	 1
Årg. 1-19, vol. 20-31	 1
Årg. 1-20	 1
Årg. 1-21	 1
Årg. 1-22	 1
Årg. 1-24	 1
Årg. 1-27	 1
Årg. 1-29	 1
Årg. 1-33	 1
Årg. 1-38	 1
Årg. 1-4	 1
Årg. 1-42	 1
Årg. 1-49	 1
Årg. 1-55	 1
Årg. 1-7	 1
Årg. 1-71	 1
Årg. 1-74	 1
Årg. 1-Årg. 25	 1
Årg. 1-årg. 48	 1
Årg. 1-Årg. 67	 1
Årg. 1:1-	 1
Årg. 1(1818/1819) - årg. 5(1822/1823)	 1
Årg. 1(1898)-årg. 62(1962) ; 1964-1973 ; 1974/1975 ; 1976-1986 ; 1987/1988-1996/1997	 1
Årg. 1(19??)-årg. 82([19]68)	 1
Årg. 1(1908/1909): nr 1-nr 6	 1
Årg. 1(1909/1910):nr 1-nr 23	 1
Årg. 1(1918)-årg. 64(1981/82)	 1
Årg. 1(1920)-35(1955) ; Årg. 36(1956)-79(2001/2002)	 1
Årg. 1(1934): nr 1-årg. 6(1939): nr 1 ; årg. 7(1940): 1-årg. 14(1947): 2 ; årg. 15(1955) ; 1956/1957-1966/1967	 1
Årg. 1(1938/39)-19(1959/60)	 1
Årg. 1(1939)-22(1966/68)	 1
Årg. 1(1940/1941): [nr 1]-nr 2	 1
Årg. 1(1947/1948): nr 1-nr 3	 1
Årg. 1(1987/88)-	 1
Årg. 1910:1 - 1935:10	 1
Årg. 37-72	 1
Årg. 4-20	 1
Årg. 6(1971)-årg. 24(1990/91)	 1
Årg. 8(1943)-årg. 15(1950) = nr 21-nr 30 ; 1952-1999/2000	 1
Årg.1-3	 1
Årg.1(1898/1899):nr 1-23	 1
Bd 1-10	 1
Bd 1-13	 1
