Name	Count
Total count (na.rm TRUE): 	369108
Stockholm	201930
Uppsala	 21085
Helsinki	 14764
Gothenburg	 14164
Lund	 13297
Malmö	  5663
Copenhagen	  5008
Örebro	  4533
Linköping	  3315
Jönköping	  3151
Norrköping	  3059
Turku	  2877
Oslo	  2868
London	  2354
Falun	  2334
Paris	  2311
Västerås	  2099
Helsingborg	  2095
Berlin	  2011
Leipzig	  1583
Karlskrona	  1540
Karlstad	  1515
Kristianstad	  1468
Strängnäs	  1401
Kalmar	  1363
Växjö	  1156
Porvoo	  1154
Gävle	  1112
Nyköping	  1109
Skara	  1093
New York NY	  1081
Chicago IL	  1054
Uddevalla	   791
Sundsvall	   764
Visby	   717
Härnösand	   701
Halmstad	   660
Eskilstuna	   640
Borås	   637
Stuttgart	   581
Umeå	   570
Rock Island IL	   543
Vaasa	   527
München	   517
Karlshamn	   502
Amsterdam	   492
Vänersborg	   490
St Petersburg	   446
Landskrona	   442
Södertälje	   431
Luleå	   414
Skövde	   410
Kristiinankaupunki	   400
Västervik	   387
Vienna	   384
Köping	   372
Hässleholm	   366
Ystad	   366
Hamburg	   356
Mariestad	   349
Prague	   338
Lidköping	   316
Greifswald	   313
Vetlanda	   299
Falköping	   296
Filipstad	   287
Trelleborg	   274
Moscow	   266
Sala	   264
Jena	   261
Eksjö	   256
Borlänge	   252
Reykjavik	   247
Oskarshamn	   241
Söderhamn	   237
Örnsköldsvik	   236
Hudiksvall	   231
Tartu	   230
Alingsås	   223
Norrtälje	   222
Rome	   221
Arvika	   217
Minneapolis Mn	   217
Sollefteå	   208
Jyväskylä	   205
Halle	   203
Zürich	   203
Frankfurt	   202
Riga	   201
Mariefred	   192
Budapest	   189
Vadstena	   186
Eslöv	   184
Nässjö	   181
Philadelphia Pa	   181
Brussels	   179
The Hague	   178
Varberg	   175
Washington DC	   171
Milan	   166
Trollhättan	   166
Hämeenlinna	   165
Hedemora	   164
Arlöv	   162
Lindesberg	   156
Enköping	   154
Ulricehamn	   153
Warsaw	   153
Falkenberg	   152
Leiden	   152
Boston Ma	   150
Ängelholm	   148
Sölvesborg	   147
Stralsund	   147
Tammisaari	   146
Tranås	   144
Bollnäs	   143
Rostock	   139
Katrineholm	   138
Skellefteå	   137
Tallinn	   134
Amal	   133
Arboga	   132
Nora	   127
Klippan	   126
Vyborg	   125
Lysekil	   118
Tierp	   118
Madrid	   117
Tampere	   117
Lidingö	   115
Klinten	   113
Ljusdal	   111
Dresden	   109
Utrecht	   106
Firenze	   104
Värnamo	   102
Kuopio	   101
Mariehamn	    98
Bergen	    97
Strasbourg	    97
Geneva	    95
Karlskoga	    95
Kumla	    95
Nybro	    94
Barcelona	    88
Heidelberg	    88
Osby	    88
Piteå	    87
Basel	    86
Lübeck	    85
Söderköping	    85
Braunschweig	    84
Sundbyberg	    83
Vimmerby	    81
Aarhus	    80
Pietarsaari	    79
Tokyo	    79
Boden	    77
Göttingen	    75
Trosa	    75
Bern	    74
Cologne	    74
Nürnberg	    74
Buenos Aires	    72
Haarlem	    72
Södertäje	    72
Askersund	    71
Kiel	    71
Breslau	    70
Wiesbaden	    70
Cambridge	    67
Sofia	    67
Pori	    66
Huskvarna	    65
Krakow	    65
Ludvika	    65
Mora	    65
Hardemo	    63
Svedala	    62
Oulu	    60
Oxford	    60
Haaparanta	    59
Bonn	    57
Edinburgh	    56
Grimma	    56
Antwerp	    55
Asmara	    54
Freiburg im Breisgau	    54
Tomteboda	    54
Tübingen	    54
Urbana	    54
Laholm	    53
Sandviken	    53
Szczecin	    53
Potsdam	    52
Baltimore Md	    51
Lisbon	    50
Säffle	    50
Sköllersta	    50
Tidaholm	    50
Marburg	    49
Odense	    49
Poznań	    49
Zagreb	    49
Vammala	    48
Simrishamn	    47
Venice	    47
Nynäshamn	    46
Strömstad	    46
Battle Creek Mi	    45
Sunne	    45
