name;synonyme
Aarhus;aros
Västerås;aros
Västerås;arosiensis
Aarhus;arosiensis
Battle Creek Mi;battle creek mi
Battle creek MI;battle creek mi
Brussels;bruxellis
Stockholm;bruxellis
Tammisaari;ekenäs
Turku;ekenäs
Helsingborg;hälsingborg
Raa-Besenbek;hälsingborg
Hamburg;hamburg
Uppsala;hamburg
Hamburg;hamburgi
Stockholm;hamburgi
Helsinki;helsingfors
Turku;helsingfors
Porvoo;helsingfors
Helsinki;hfors
Porvoo;hfors
Jun;jun
Uppsala;jun
Copenhagen;köpenhamn
Haunia;köpenhamn
Oslo;kristiania
Copenhagen;kristiania
Oslo;kristiania stockholm
Copenhagen;kristiania stockholm
Leipzig;lipsiae
Göttingen;lipsiae
Litchfield Ct;lit
Uppsala;lit
London;london
Copenhagen;london
Louis;louis
Copenhagen;louis
Lund;lund
Copenhagen;lund
Minneapolis Mn;minneapolis mn
Minneapolis MN;minneapolis mn
Norrköping;norrköping
Aby;norrköping
Norstedt;norstedt
Stockholm;norstedt
Nyköping;nyköping stockholm
Alingsås;nyköping stockholm
Oslo;oslo
Copenhagen;oslo
Paris;paris
Neuchatel;paris
Geneva;paris
Paulo;paulo
Sao Paulo;paulo
Poznań;poznań
Lviv;poznań
NA;prostat
Uppsala;prostat
Haunia;prostat
Rostock;rostochii
Leipzig;rostochii
Solna;solna
Stockholm;solna
Stockholm;stockholm
Porvoo;stockholm
Akeshov;stockholm
Uppsala;ups
Stockholm;ups
Uppsala;upsal
Stockholm;upsal
