original	polished	Count
Total count: 	4713	
Göteborg	Gothenburg	703
Helsingfors	Helsinki	451
[Stockholm]	Stockholm	369
Upsala	Uppsala	184
Hfors	Helsinki	132
København	Copenhagen	109
Åbo	Turku	 93
Hälsingborg	Helsingborg	 72
New York	New York NY	 44
Köbenhavn	Copenhagen	 41
Östersund	Oslo	 40
Chicago, Ill.	Chicago IL	 36
[Uppsala]	Uppsala	 30
Kristinehamn	Kristiinankaupunki	 30
Chicago	Chicago IL	 28
[Lund]	Lund	 26
Sthlm	Stockholm	 26
Stockholm :;Stockholm :;Stockholm	Stockholm	 24
Kjøbenhavn	Copenhagen	 23
Kristiania	Oslo	 21
Upsaliæ	Uppsala	 20
Kjöbenhavn	Copenhagen	 20
Rock Island, Ill.	Rock Island IL	 19
Borgå	Porvoo	 18
Strengnäs	Strängnäs	 18
Stockholm, Tryckt i Kongl. Tryckeriet.	Stockholm	 18
Wien	Vienna	 17
Götheborg	Gothenburg	 16
Helsingissä	Helsinki	 16
Lundæ	Lund	 15
Praha	Prague	 14
Wexiö	Växjö	 13
Vasa	Vaasa	 13
[Göteborg]	Gothenburg	 12
Göteb.	Gothenburg	 12
Reykjavík	Reykjavik	 12
Roma	Rome	 11
[Malmö]	Malmö	 11
Christianstad	Copenhagen	 11
Stockholm ...	Stockholm	 10
Moskva	Moscow	 10
Uppsala ;;Stockholm	Uppsala	 10
[Helsingfors]	Helsinki	 10
Christiania	Oslo	 10
Stockholm, tryckt i Kongl. Tryckeriet, 1824.	Stockholm	 10
Aboæ	Turku	 10
Khvn	Copenhagen	 10
Hernösand	Härnösand	 10
Washington	Washington DC	 10
Engelholm	Ängelholm	 10
[Upsala]	Uppsala	  9
Stockholm :;Helsingfors	Stockholm	  9
Stockholm, tryckt uti Kongl. tryckeriet, hos directeuren Pet. Momma.	Stockholm	  9
[Hfors]	Helsinki	  9
S.-Peterburg	St Petersburg	  9
Holmiæ	Stockholm	  9
Minneapolis, Minn.	Minneapolis Mn	  9
Milano	Milan	  9
Ubsaliæ	Uppsala	  8
Porvoo & Helsinki	Porvoo	  8
Stockholmiæ	Stockholm	  8
[Paris]	Paris	  8
Bruxelles	Brussels	  8
Sköfde	Skövde	  7
[London]	London	  7
Stockholm, tryckt i Kongl. Tryckeriet, 1821.	Stockholm	  7
Köpenhamn	Copenhagen	  7
Stockholm, tryckt i Kongl. Tryckeriet, 1823.	Stockholm	  7
Göteb	Gothenburg	  7
Philadelphia	Philadelphia Pa	  7
Åmål	Amal	  7
Upsaliæ, typis Edmannianis.	Uppsala	  7
Carlshamn	Karlshamn	  7
Stockholm, Tryckt uti Kongl. Tryckeriet, Hos Directeuren Pet. Momma.	Stockholm	  7
Stockholm, Tryckt i Kongl. Tryckeriet, 1808.	Stockholm	  6
[Berlin]	Berlin	  6
Boston	Boston Ma	  6
Stockholm, Tryckt i Kongl. Tryckeriet, 1809.	Stockholm	  6
Uppsala ...	Uppsala	  6
Upps	Uppsala	  6
Nikolaistad	Vaasa	  6
Stockholm, tryckt i Kongl. Tryckeriet, 1827.	Stockholm	  6
Stockholm, Tryckt i Kongl. Tryckeriet, 1815.	Stockholm	  6
Stockholm, Kongl. boktryckeriet, 1830.	Stockholm	  5
[Helsingborg]	Helsingborg	  5
Tammerfors	Tampere	  5
Upsaliae	Uppsala	  5
Stockholm :;Stockholm :;Stockholm :;Stockholm	Stockholm	  5
Ekenäs	Tammisaari	  5
Porvoo ;;Helsinki	Porvoo	  5
[Helsinki]	Helsinki	  5
Stockholm, Tryckt i Kongl. Tryckeriet, 1803.	Stockholm	  5
Westervik	Västervik	  5
Uppsala & Sthlm	Uppsala	  5
Porvoossa	Porvoo	  5
Stockholm, Tryckt i Kongl. Tryckeriet, 1813.	Stockholm	  5
Calmar	Kalmar	  5
Stockholm, tryckt i Kongl. tryckeriet, 1826.	Stockholm	  4
Stockholm ;;Strängnäs	Stockholm	  4
Lisboa	Lisbon	  4
Stockholm, tryckt uti det Kongl. boktryckeriet.	Stockholm	  4
København ;;Kristiania	Copenhagen	  4
Reval	Tallinn	  4
Trondhjem	Trondheim	  4
Stockholm, tryckt i Kongl. tryckeriet, 1805.	Stockholm	  4
[Norrköping]	Norrköping	  4
Westerås	Västerås	  4
Stockholm, Kongl. boktryckeriet, 1831.	Stockholm	  4
Stockholm, Trykt i Kongl. Tryckeriet.	Stockholm	  4
Stockholm, Tryckt i Kongl. Tryckeriet, 1800.	Stockholm	  4
Norrtelje	Norrtälje	  4
Jakobstad	Pietarsaari	  4
Stockholm, Tryckt i Kongl. Tryckeriet, 1807.	Stockholm	  4
Dorpat	Tartu	  4
Stockholm, Tryckt hos Lars Salvius.	Stockholm	  4
Stockholm, Tryckt i Kongl. Tryckeriet, 1812.	Stockholm	  4
Chicago, Ill	Chicago IL	  4
[Nyköping]	Nyköping	  4
Stockholm, Tryckt i Kongl. Tryckeriet, 1802.	Stockholm	  4
[Hälsingborg]	Helsingborg	  4
Fahlun	Falun	  4
Wisby	Visby	  4
[Östersund]	Oslo	  4
Wexjö	Växjö	  4
Warszawa	Warsaw	  4
Wadstena	Vadstena	  4
Bromma	Stockholm	  3
Stockholm ;;Berlin ;;London ;;Paris	Stockholm	  3
Stockholm, Tryckt hos Directeuren Lars Salvius, 1760.	Stockholm	  3
Lipsiæ	Leipzig	  3
S-Peterburg	St Petersburg	  3
Hafniae	Copenhagen	  3
Kopenhagen	Copenhagen	  3
Helsingforsiae	Helsinki	  3
Holmiae	Stockholm	  3
Stockholm, tryckt i Kongl. Tryckeriet, 1826.	Stockholm	  3
Haparanda	Haaparanta	  3
Lincopiæ	Linköping	  3
Londini Gothorum	Lund	  3
Stockholm, Tryckt hos Direct. Lars Salvius.	Stockholm	  3
Stockholm, Tryckt i Kongl. Tryckeriet, 1793.	Stockholm	  3
Stockholm, tryckt uti det Kongl. tryckeriet.	Stockholm	  3
Stockholm, tryckt hos Lars Salvius.	Stockholm	  3
[Strengnäs]	Strängnäs	  3
Stockholm, Tryckt i Kongl. Tryckeriet, 1811.	Stockholm	  3
Prag	Prague	  3
Stockholm, Tryckt i Kongl. Tryckeriet, 1792.	Stockholm	  3
Södertelge	Södertäje	  3
St. Paul, Minn.	Paul	  3
Södertelje	Södertäje	  3
Cleveland ...	Cleveland Oh	  3
[København]	Copenhagen	  3
Örebro ;;Stockholm	Örebro	  3
Stockholm, Kongl. tryckeriet, 1830.	Stockholm	  3
[New York]	New York NY	  3
[Kristianstad]	Kristianstad	  3
Köln	Cologne	  3
Stockholm ;;Uppsala	Stockholm	  3
Stockholm, tryckt i Kongl. Tryckeriet, 1818.	Stockholm	  3
Trälleborg	Trelleborg	  3
Wästeråhs	Västerås	  3
Stockholm, Kongl. boktryckeriet, 1832.	Stockholm	  3
[Copenhagen]	Copenhagen	  3
Stockholm, Tryckt i Kongl. Tryckeriet, 1810.	Stockholm	  3
Fredrikshald	Halden	  3
Turusa	Turku	  3
Stockholm, tryckt i Kongl. Tryckeriet, 1817.	Stockholm	  3
Lundae	Lund	  3
Stockholm, tryckt i Kongl. tryckeriet.	Stockholm	  3
Kungsgården	Kungsgarden	  3
Stockholm, tryckt uti thet Kongl. tryckeriet, hos directeuren Pet. Momma.	Stockholm	  3
Carlskrona	Karlskrona	  3
Napoli	Naples	  3
Stockholm, tryckt i Kongl. Tryckeriet, 1820.	Stockholm	  3
Sortavalassa	Sortavala	  3
Vesterås	Västerås	  3
[Oslo]	Oslo	  3
Den Haag	The Hague	  2
Stockholm, Kongl. boktryckeriet, 1833.	Stockholm	  2
Strängnäs ;;Nyköping	Strängnäs	  2
Rock Island, Ill	Rock Island IL	  2
Stockholm, Tryckt i Kongl. Tryckeriet, 1798.	Stockholm	  2
Carlstad	Karlstad	  2
London ...	London	  2
Stockholm,;Stockholm	Stockholm	  2
Wien ...	Vienna	  2
Stockholm, trykt [!] i Kongl. tryckeriet.	Stockholm	  2
Petersburg	St Petersburg	  2
S-Petersburg	St Petersburg	  2
Sofija	Sofia	  2
Torun	Toruń	  2
Upsaliæ Wahlström et Låstbom.	Uppsala	  2
Stockholm, tryckt i Kongl. Tryckeriet, 1828.	Stockholm	  2
Minneapolis ;;Chicago	Minneapolis Mn	  2
Aboæ, typis Frenckellianis.	Turku	  2
Stettin	Szczecin	  2
Genève	Geneva	  2
Stockholm, Kongl. boktryckeriet 1833.	Stockholm	  2
[Åbo]	Turku	  2
Upsaliæ, litteris viduæ direct. Joh. Edman.	Uppsala	  2
Stockholm, Kongl. Tryckeriet, 1829.	Stockholm	  2
[Karlskrona]	Karlskrona	  2
[Wiesbaden]	Wiesbaden	  2
Stockholm, Tryckt i Kongl. Tryckeriet, 1796.	Stockholm	  2
St Michel	Mikkeli	  2
Stockholm, 1776. Trykt hos Henr. Fougt, R. K. W. O. Kongl. Boktryckare.	Stockholm	  2
Stockholm, Tryckt i Kongl. Tryckeriet, 1806.	Stockholm	  2
Åland	Mariehamn	  2
Stockholm, gedruckt bey Lorentz Ludwig Grefing.	Stockholm	  2
Helsingb.	Helsinki	  2
Bishop Hill, Ill.	Bishop Hill IL	  2
Paris ...	Paris	  2
Stockholm, Tryckt i Kongl. Tryckeriet, 1801.	Stockholm	  2
[Söderhamn]	Söderhamn	  2
[Strängnäs]	Strängnäs	  2
Stockholm, Tryckt hos Lorens Ludvig Grefing 1766.	Stockholm	  2
Tryckt i Stockholm, aff Ignatio Meurer.	Stockholm	  2
[Åtvidaberg]	Åtvidaberg	  2
[Linköping]	Linköping	  2
Jelgawa	Jelgava	  2
Wasa	Vaasa	  2
Stockholm :;Stockholm :;Stockholm :;Stockholm :;Stockholm :;Stockholm	Stockholm	  2
Arlöv ...	Arlöv	  2
Upsaliæ, ex officina Werneriana.	Uppsala	  2
Gryphiæ	Greifswald	  2
[Trosa]	Trosa	  2
Berlin ;;Leipzig	Berlin	  2
Lwów	Lviv	  2
Stockholm, Tryckt uti det Kongl. Tryckeriet.	Stockholm	  2
St. Gallen	St Gallen	  2
Kuopiossa	Kuopio	  2
[Amsterdam]	Amsterdam	  2
Goettingae	Göttingen	  2
København & Kristiania	Copenhagen	  2
[Jönköping]	Jönköping	  2
Ekesjö	Eksjöhovgård	  2
[Kristdala]	Kristdala	  2
Upsaliæ excudebant regiæ academiæ typographi.	Uppsala	  2
Stockholm Tryckt hoos Niclas Wankijff, Kongl. Booktryckiare.	Stockholm	  2
Stockholm, Trykt i Kongl. Tryckeriet, 1781.	Stockholm	  2
Upsala, tryckt hos Johan Edman, kongl. acad. boktr.	Uppsala	  2
Stockholm, tryckt uti kongl. tryckeriet.	Stockholm	  2
Battle Creek, Mich.	Battle Creek Mi	  2
Stockholm, Tryckt i Kongl. Tryckeriet, 1826.	Stockholm	  2
[Gävle]	Gävle	  2
Stockholm, Tryckt i Kongl. Tryckeriet, 1816.	Stockholm	  2
