original	publication_year	publication_year_from	publication_year_till	Count
Total count (na.rm TRUE): 	372136			
1955	1955	1955	NA	5478
1946	1946	1946	NA	5012
1945	1945	1945	NA	4981
1949	1949	1949	NA	4972
1954	1954	1954	NA	4966
1948	1948	1948	NA	4810
1950	1950	1950	NA	4772
1947	1947	1947	NA	4720
1944	1944	1944	NA	4648
1952	1952	1952	NA	4623
1953	1953	1953	NA	4539
1935	1935	1935	NA	4453
1937	1937	1937	NA	4376
1951	1951	1951	NA	4353
1934	1934	1934	NA	4306
1936	1936	1936	NA	4278
1943	1943	1943	NA	4273
1938	1938	1938	NA	4219
1912	1912	1912	NA	4170
1942	1942	1942	NA	4142
1918	1918	1918	NA	4128
1917	1917	1917	NA	4125
1930	1930	1930	NA	4085
1939	1939	1939	NA	4082
1933	1933	1933	NA	3984
1916	1916	1916	NA	3980
1931	1931	1931	NA	3908
1928	1928	1928	NA	3887
1924	1924	1924	NA	3883
1914	1914	1914	NA	3877
1941	1941	1941	NA	3864
1925	1925	1925	NA	3837
1915	1915	1915	NA	3830
1926	1926	1926	NA	3825
1927	1927	1927	NA	3817
1932	1932	1932	NA	3816
1929	1929	1929	NA	3813
1923	1923	1923	NA	3753
1913	1913	1913	NA	3721
1920	1920	1920	NA	3607
1919	1919	1919	NA	3558
1910	1910	1910	NA	3508
1911	1911	1911	NA	3474
1922	1922	1922	NA	3415
1940	1940	1940	NA	3300
1921	1921	1921	NA	3300
1908	1908	1908	NA	3259
1907	1907	1907	NA	3098
1909	1909	1909	NA	3053
1906	1906	1906	NA	2861
1905	1905	1905	NA	2633
1901	1901	1901	NA	2519
1902	1902	1902	NA	2503
1904	1904	1904	NA	2415
1903	1903	1903	NA	2407
1900	1900	1900	NA	2393
1897	1897	1897	NA	1713
1898	1898	1898	NA	1634
1899	1899	1899	NA	1558
1896	1896	1896	NA	1558
1895	1895	1895	NA	1548
1894	1894	1894	NA	1466
1893	1893	1893	NA	1459
1892	1892	1892	NA	1416
1890	1890	1890	NA	1411
1891	1891	1891	NA	1401
1829	1829	1829	NA	1305
1815	1815	1815	NA	1265
1889	1889	1889	NA	1247
1818	1818	1818	NA	1193
1828	1828	1828	NA	1160
1888	1888	1888	NA	1159
1771	1771	1771	NA	1125
1827	1827	1827	NA	1081
1887	1887	1887	NA	1078
1885	1885	1885	NA	1074
1769	1769	1769	NA	1050
1772	1772	1772	NA	1048
1886	1886	1886	NA	1032
1826	1826	1826	NA	1029
1883	1883	1883	NA	1018
1823	1823	1823	NA	1013
1810	1810	1810	NA	1007
1882	1882	1882	NA	 998
1884	1884	1884	NA	 979
1819	1819	1819	NA	 964
1813	1813	1813	NA	 956
1817	1817	1817	NA	 954
1820	1820	1820	NA	 950
1824	1824	1824	NA	 946
1880	1880	1880	NA	 929
1881	1881	1881	NA	 919
1809	1809	1809	NA	 915
1812	1812	1812	NA	 902
1816	1816	1816	NA	 857
1814	1814	1814	NA	 855
1822	1822	1822	NA	 846
1877	1877	1877	NA	 836
1821	1821	1821	NA	 827
1825	1825	1825	NA	 826
1879	1879	1879	NA	 807
1878	1878	1878	NA	 806
1876	1876	1876	NA	 781
1875	1875	1875	NA	 772
1800	1800	1800	NA	 770
1872	1872	1872	NA	 761
1811	1811	1811	NA	 716
1807	1807	1807	NA	 714
1808	1808	1808	NA	 706
1869	1869	1869	NA	 705
1806	1806	1806	NA	 694
1874	1874	1874	NA	 686
1870	1870	1870	NA	 679
1871	1871	1871	NA	 676
1873	1873	1873	NA	 662
1770	1770	1770	NA	 654
1868	1868	1868	NA	 653
1801	1801	1801	NA	 644
1866	1866	1866	NA	 634
1802	1802	1802	NA	 628
1799	1799	1799	NA	 626
1865	1865	1865	NA	 624
1792	1792	1792	NA	 598
1867	1867	1867	NA	 593
1860	1860	1860	NA	 587
1863	1863	1863	NA	 581
1804	1804	1804	NA	 569
1805	1805	1805	NA	 559
1862	1862	1862	NA	 558
1857	1857	1857	NA	 557
1803	1803	1803	NA	 555
1856	1856	1856	NA	 554
1844	1844	1844	NA	 553
1798	1798	1798	NA	 550
1861	1861	1861	NA	 546
1833	1833	1833	NA	 545
1831	1831	1831	NA	 543
1864	1864	1864	NA	 538
1859	1859	1859	NA	 530
1832	1832	1832	NA	 526
1851	1851	1851	NA	 526
1830	1830	1830	NA	 522
1766	1766	1766	NA	 516
1765	1765	1765	NA	 511
1768	1768	1768	NA	 501
1773	1773	1773	NA	 495
1793	1793	1793	NA	 492
1840	1840	1840	NA	 489
1854	1854	1854	NA	 488
1843	1843	1843	NA	 482
1789	1789	1789	NA	 482
1852	1852	1852	NA	 479
1796	1796	1796	NA	 477
1797	1797	1797	NA	 473
1847	1847	1847	NA	 472
1788	1788	1788	NA	 470
1845	1845	1845	NA	 466
1790	1790	1790	NA	 465
1853	1853	1853	NA	 463
1855	1855	1855	NA	 459
1795	1795	1795	NA	 457
1858	1858	1858	NA	 450
1786	1786	1786	NA	 448
1848	1848	1848	NA	 446
1774	1774	1774	NA	 439
1849	1849	1849	NA	 435
1794	1794	1794	NA	 433
1846	1846	1846	NA	 433
1767	1767	1767	NA	 422
1850	1850	1850	NA	 421
1842	1842	1842	NA	 420
1841	1841	1841	NA	 410
1787	1787	1787	NA	 406
1839	1839	1839	NA	 405
1791	1791	1791	NA	 404
1834	1834	1834	NA	 392
1779	1779	1779	NA	 379
1778	1778	1778	NA	 377
1775	1775	1775	NA	 377
1781	1781	1781	NA	 373
1838	1838	1838	NA	 369
1780	1780	1780	NA	 354
1756	1756	1756	NA	 353
1782	1782	1782	NA	 345
[1955]	1955	1955	NA	 333
1776	1776	1776	NA	 332
1785	1785	1785	NA	 331
1762	1762	1762	NA	 326
1784	1784	1784	NA	 318
1836	1836	1836	NA	 316
1761	1761	1761	NA	 313
1783	1783	1783	NA	 307
1837	1837	1837	NA	 302
1751	1751	1751	NA	 302
1760	1760	1760	NA	 300
1835	1835	1835	NA	 297
1777	1777	1777	NA	 292
1746	1746	1746	NA	 274
[1951]	1951	1951	NA	 271
[1954]	1954	1954	NA	 270
1759	1759	1759	NA	 265
[1952]	1952	1952	NA	 264
[1950]	1950	1950	NA	 263
1757	1757	1757	NA	 252
1743	1743	1743	NA	 252
1764	1764	1764	NA	 248
1741	1741	1741	NA	 248
[1948]	1948	1948	NA	 248
1758	1758	1758	NA	 245
1755	1755	1755	NA	 240
[1938]	1938	1938	NA	 233
[1953]	1953	1953	NA	 231
1744	1744	1744	NA	 230
1720	1720	1720	NA	 228
1742	1742	1742	NA	 228
1763	1763	1763	NA	 226
1747	1747	1747	NA	 226
1749	1749	1749	NA	 226
[1936]	1936	1936	NA	 217
1745	1745	1745	NA	 213
[1949]	1949	1949	NA	 213
1748	1748	1748	NA	 212
[1947]	1947	1947	NA	 212
1752	1752	1752	NA	 211
[1946]	1946	1946	NA	 209
1754	1754	1754	NA	 204
1753	1753	1753	NA	 195
1719	1719	1719	NA	 184
[1934]	1934	1934	NA	 184
[1766]	1766	1766	NA	 183
cop. 1953	1953	1953	NA	 181
[1935]	1935	1935	NA	 181
[1748]	1748	1748	NA	 177
cop. 1954	1954	1954	NA	 176
[1939]	1939	1939	NA	 174
[1937]	1937	1937	NA	 174
1738	1738	1738	NA	 172
1701	1701	1701	NA	 170
1750	1750	1750	NA	 167
[1945]	1945	1945	NA	 167
cop. 1955	1955	1955	NA	 165
[1756]	1756	1756	NA	 160
1700	1700	1700	NA	 160
1731	1731	1731	NA	 158
1739	1739	1739	NA	 156
1718	1718	1718	NA	 155
1734	1734	1734	NA	 155
[1944]	1944	1944	NA	 151
[1757]	1757	1757	NA	 150
1740	1740	1740	NA	 150
[1741]	1741	1741	NA	 149
[1943]	1943	1943	NA	 148
[1942]	1942	1942	NA	 147
cop. 1951	1951	1951	NA	 144
[1770]	1770	1770	NA	 139
[1933]	1933	1933	NA	 139
1714	1714	1714	NA	 136
cop. 1952	1952	1952	NA	 134
[1762]	1762	1762	NA	 133
[1941]	1941	1941	NA	 133
[1928]	1928	1928	NA	 133
[1751]	1751	1751	NA	 132
1715	1715	1715	NA	 132
[1778]	1778	1778	NA	 129
[1924]	1924	1924	NA	 128
[1782]	1782	1782	NA	 126
[1763]	1763	1763	NA	 126
[1739]	1739	1739	NA	 126
1722	1722	1722	NA	 126
1727	1727	1727	NA	 126
1723	1723	1723	NA	 124
1710	1710	1710	NA	 123
[1901]	1901	1901	NA	 123
1726	1726	1726	NA	 122
