Name	Count
Total count: 	5747
<S.a.>	2542
s.a.	1938
[s.a.]	 208
u.å.	  87
[18-?]	  72
[19??]	  59
[S.a.]	  56
[16??]	  44
[1---]-	  34
[1---]	  30
[19--]	  30
[s.n.]	  28
[18--]-	  23
S.a.	  21
[190-?]	  20
[17--?]	  17
[189?]	  17
[190?]	  15
[19--?]	  14
[19--]-	  14
[191?]	  13
[192-?]	  13
[191-?]	  11
[18--?]	  10
[193?]	  10
[16--?]	   8
[189-?]	   8
[19-?]	   8
[192?]	   8
[194-?]	   8
[18--]	   7
[188-?]	   7
[194?]	   7
[17--]	   6
[19--?]-	   6
193-?]	   6
u. å. [16??]	   6
[185-?]	   5
[186?]	   5
[187?]	   5
190-?]	   5
[18??]-	   4
18??-	   4
[183?]	   4
[185?]	   4
[188?]	   4
19??	   4
193?	   4
[195-?]	   4
[s.a]	   4
ឃ	   3
ថ	   3
[16??].	   3
[17--]-	   3
[179-?]	   3
[18??]	   3
[19??]-	   3
19??-	   3
[19--]-[19--]	   3
[192-]	   3
[193-?]	   3
s.a. [190?]	   3
Tryckt i åhr. [16??]	   3
[u.å.]	   3
u. å., [16??]	   3
u. å.,;[16??]	   3
᝹	   2
ឈ	   2
ធ	   2
ᠥ	   2
ᘶ	   2
ᙵ	   2
ᚇ	   2
ᚒ	   2
[1----]-	   2
[1---?]	   2
[1---?]-	   2
[1---]-[19--]	   2
[166?]	   2
[168?]	   2
[169?]	   2
17--?]	   2
[170-?]	   2
[18--?]-	   2
[182-?]	   2
[184?]	   2
[186-?]	   2
[189-?]-	   2
[189-]	   2
19--	   2
[190-]	   2
[191-?]-	   2
[191-]	   2
[195?]	   2
62 A y (Br.) FOL.	   2
u. å.	   2
u.å. [16??]	   2
u.å.,;[16??]	   2
[----]	   1
ᜤ	   1
ᜰ	   1
ᜳ	   1
᜵	   1
ᝅ	   1
᝙	   1
ᝠ	   1
᝴	   1
ក	   1
ឆ	   1
ជ	   1
ន	   1
᠃	   1
᠕	   1
ᠳ	   1
ᕁ	   1
ᕩ	   1
ᖐ	   1
ᙘ	   1
ᙨ	   1
ᙲ	   1
ᙹ	   1
ᚃ	   1
ᚅ	   1
ᚈ	   1
ᚉ	   1
ᚓ	   1
ᚔ	   1
ᚖ	   1
ᚗ	   1
ᚘ	   1
ᚙ	   1
ᜉ	   1
1094	   1
[1---] - [1----]	   1
[1---]-[1---]	   1
129	   1
1348	   1
[16--??]	   1
[163l].	   1
166l	   1
166l.	   1
[17--?]-	   1
[17--?].	   1
[17??]	   1
1720- 1696	   1
[173-?]	   1
[173?-174?]	   1
1740-talet 1730-	   1
[175-?]	   1
[175?]	   1
[176?]	   1
[177?]	   1
1775-1761	   1
[178-?]	   1
1787-1782	   1
[179?]	   1
179-?]	   1
179?	   1
[18-- ]-	   1
[18---?]	   1
[18---]-	   1
[18--?]-[----?]	   1
[18]-	   1
18--?]	   1
18??	   1
180	   1
[180-?]	   1
[180?]	   1
[180.]	   1
180-?]	   1
[18--]-[1---]	   1
[181-?]	   1
[18--]-[19--]	   1
[18-?]-[19-?]	   1
[18--?]-1988/89	   1
182	   1
182 s.	   1
185?-	   1
[186-]	   1
[186-]-	   1
1865300	   1
[187-?]	   1
[187-]	   1
187-?]	   1
1873-1872	   1
[1877-1778]	   1
[188.]	   1
188?	   1
[188-?]-1883;1883	   1
[189.]	   1
189-?]	   1
189?	   1
[189-]-[19--]	   1
[19---?]	   1
[19-]	   1
[19]-	   1
19--?-	   1
19--?]	   1
19?-	   1
190?	   1
190?.	   1
19079916820651	   1
[191?]-	   1
191?-	   1
191.	   1
[19--?]-[19--?]	   1
[19??-19??]	   1
192?	   1
192?.	   1
[192--193-?]	   1
[193?]-	   1
[193?].	   1
193-	   1
193?-	   1
1932-1931.	   1
[194?]-[194?]	   1
194?-195?	   1
[195-?]-	   1
195?	   1
[196-?]	   1
[1963-1864]	   1
19771982	   1
[199-?]-	   1
19nn-	   1
19uu	   1
31915	   1
5681-5685 [=1921-1925]	   1
5684 - 1924	   1
Bonnier	   1
Carlstad	   1
C. E. Fritzes Bokförlags AB	   1
Göteborg	   1
Hälsingborg	   1
I.Reihe:1-3 - II.Reihe:1	   1
Kjöbenhavn	   1
l656	   1
[l678].	   1
[l679].	   1
s.a	   1
s. a.	   1
s.a. [17??]	   1
s.a. [170?]	   1
s.a. [18 ..]	   1
s.a. [18??]	   1
s.a. [183?]	   1
s.a. [187?]	   1
s.a. [19??]	   1
s.a. [192?]	   1
[s.n]	   1
[s.n.],;[s.a.]	   1
Tryckt Åh [... ], [16??]	   1
Try[ckt i åhr].[16??]	   1
Tryckt i åhr.[16??]	   1
Tryckt i detta åhr. [16??]	   1
Tryckt i dhetta åhr.[16??]	   1
Tryckt i thetta åhr. [16??]	   1
Tryckt i thetta åhr.[16??].	   1
Tryckt samma åhr. [16??]	   1
u.å	   1
u. å. [16??].	   1
u.å., [16??]	   1
u.å. [173-]	   1
u.å. [18..]	   1
u.å. [188?]	   1
Unity School of Christianity,;[s.a.]	   1
Wistrand & Thulins förl.,;[s.a.]	   1
