Name	Count
Total count (na.rm TRUE): 	158996
Bonnier	13166
Norstedt	 6542
Wahlström & Widstrand	 3113
Kongl. tryckeriet	 3006
Gleerup	 2570
Geber	 2345
Förf	 2158
Lindblad	 2075
[Kongl. tryckeriet]	 2020
B. Wahlström	 1893
Almqvist & Wiksell	 1841
Tiden	 1746
Åhlén & Åkerlund	 1721
Diakonistyr	 1384
Natur och kultur	 1152
Söderström	 1137
Lindqvist	 1106
Hökerberg	 1085
Utg	 1038
Ljus	  952
Natur o. kultur	  886
Schildt	  858
Fritze	  767
Beijer	  750
Skoglund	  728
[Förf.]	  716
Filadelfia	  593
Fosterl.-stift	  536
Dahlberg	  518
Harrier	  510
förf	  496
Nord. bokh	  495
Chelius	  474
Fram	  474
Sv. missionsförb	  474
Lindarna	  471
Romanförl	  471
Nord. bokh. i distr	  467
Fosterlandsstift	  440
Rabén & Sjögren	  437
Forum	  432
Centraltr	  423
Fören	  405
Arbetarkultur	  403
A. V. Carlson	  376
Framtiden	  370
Nils-Georgs musikförl	  370
Alb. Bonnier	  367
Björck & Börjesson	  355
Saxon & Lindström	  351
Wettergren & Kerber	  350
Fahlcrantz	  345
C. W. K. Gleerup	  343
LT	  341
Malmgren	  341
Örebro missionsfören	  341
[Seelig]	  339
Gehrmans musikförl	  335
Folket i bild	  318
Sv. andelsförl	  318
Nord. rotogravyr	  312
Lundequistska bokh	  305
Magn. Bergvall	  299
Hall	  294
Koop. förb	  292
O. Eklund	  290
Seelig	  288
Southern Music	  287
Gleerupska univ.-bokh	  279
Fahlcrantz & Gumælius	  267
Hæggström	  257
Holmquists boktr	  257
Gumpert	  256
P. A. Norstedt & S:r	  253
Bonniers	  251
utg	  250
Nord. förl	  239
Natur och Kultur	  235
Västra Sverige	  235
Svensk läraretidning	  234
Askerberg	  233
Flodin	  233
Samson & Wallin	  231
Medén	  228
Fritzes bokf	  205
Hierta	  202
Fröléen	  198
Palmquist	  198
Sv. bokförl	  196
Evangeliipress	  195
Förb	  191
[förf.]	  188
Augustana Book Concern	  188
Ed. Sylvain	  188
Förf:n	  188
Nordisk rotogravyr	  185
Norstedts	  185
[Fören.]	  184
Sörlin	  182
Federativ	  181
Åhlén & söner	  180
Radiotjänst	  178
Bille	  177
Reuter & Reuter	  174
S. Flodin	  173
Holmquist	  171
Åhlén & Åkerlund :;Bonnier	  170
[Kungl. tryckeriet]	  167
Exp	  167
Norblads bokh	  159
Eklund	  158
Akad. bokh	  155
Nutiden	  155
Appelberg	  154
Elander	  153
Nordin & Josephson	  153
Gleerupska bokh	  152
Missionsförb	  145
Munksgaard	  144
Fritzes bokh	  143
Kooperativa förb	  143
Utrikespolitiska institutet :;Kooperativa förb. [distributör]	  142
Almqvist & Wiksell/Geber	  141
Seligmann	  141
Otava	  140
Ad. Johnson	  139
Schultz	  139
SKD	  139
Edlund	  138
Nationalmuseum	  138
Wahlström	  138
Bohlin	  136
Ehlin	  136
H. Ohlsson	  136
Idun	  136
Pingvinförl	  135
Johnson	  133
B.-M:s bokförl	  132
Beckman	  131
Fritzes bokförl	  130
Esselte	  129
Thule	  129
Berling	  127
[Fritzes bokf.]	  124
C. E. Fritzes bokf.-a.-b	  124
Nordiska musikförl	  124
Gummesson	  123
K. boktr	  123
Sv. kyrkans diakonistyrelse	  123
Fosterlands-stift	  121
Ehrling & Löfvenholm	  119
I. Hæggström	  119
Nordiska bokhandeln	  119
Svenska missionsförb	  119
Lindfors	  118
Sv. allmogeförl	  117
Allhem	  116
Frälsningsarméns högkvarter	  115
[Nord. bokh.]	  114
Lagerström	  113
Svenska kyrkans diakonistyrelse	  112
Gyldendal	  109
Sv. alliansmissionen	  109
Marcus	  108
Ad. Bonnier	  107
Pehrsson	  107
B.-M:s bokf	  106
[Utg.]	  105
Kooperativa förbundet	  105
Looström	  105
Vårt hem	  105
Huldberg	  104
Smålandsposten	  104
F. & G. Beijers Bokf.-aktb	  103
Sv. bokförl. (Norstedt)	  103
Sv. bokförl. (Bonnier)	  102
Lindh	  101
Sv. visförl	  101
Framåt	  100
Wilhelmsson	  100
Looström & K	   99
Wennerberg	   98
Norden	   97
Westerberg	   97
Ed. Lundén	   96
Gernandt	   96
Hellström	   94
Nationaltemplarordens förl	   94
Birkagården	   93
K. L. Beckman	   92
Svithiod	   92
Hjalmar Lundberg & Gösta Olzon	   91
Lindstedts bokh	   90
Wretman	   90
Nordiska museet	   89
Nordiska förl	   88
Nya tr.-a.-b	   87
Univ	   87
Skolförl	   86
Världslitteraturen	   86
Bergvall	   85
J. Beckman	   85
Inst	   84
Silén	   84
Svenska kyrkans diakonistyr	   84
C. E. Fritzes hofbokh	   83
Lamm	   83
Lindstedts univ.-bokh	   83
Svenska andelsförl	   83
Arbetarnes tr	   81
Frihet	   81
Almqvist & Wiksells skolböcker/Geber	   80
Fylgia	   80
Svea rike	   79
C. A. V. Lundholm	   78
Lantbruksförb:s tidskr.-ab	   76
Litteraturförl	   76
Orto	   76
Schmidt	   76
Tullberg	   76
Verdandi	   76
Håkan Ohlsson	   75
Sandbergs bokh	   75
Sv. tr.-a.-b	   75
Carlson	   74
Frennesson	   74
Bröd. Borgström	   73
Svenska kyrkans diakonistyrelses bokförlag	   73
Bröd. Lagerström	   72
C. Blom	   71
Wezäta	   71
Holmström	   70
Lelands musikförl	   70
Norman	   70
Ingeniörsvetenskapsakad	   68
Norstedt & S	   68
Sällsk	   68
Svenska bokförl	   68
Almqvist & Wiksell i distr	   67
Kooperativa förbundets bokförlag	   67
Lutheran Augustana Book Concern	   67
Ekman	   66
Svea	   66
Allmogeförl	   65
Killbergs bokh	   65
[Univ.]	   64
[Bonnier]	   63
Brevskolan	   63
E. Munksgaard	   63
Gummerus	   63
Ljungberg	   63
Pro caritate	   63
Ahlins musikförl	   62
Brudin	   62
Gleerups	   62
Gullberg	   62
Lundholm	   62
Sv. kristl. stud.-rör	   62
Sveriges kristliga studentrörelse	   62
Föreningen	   61
Frenckell	   61
KF	   61
Lindström	   61
