original	polished	Count
Total count: 	65992	
Förf.	Förf	2146
[Kongl. tryckeriet]	Kongl. tryckeriet	2024
Åhlén & Åkerlund	Åhlen & Åkerlund	1721
Diakonistyr.	Diakonistyr	1373
Natur och kultur	Natur & Coultur	1152
Utg.	Utg	1026
Natur o. kultur	Natur & Coultur	 882
[Förf.]	Förf	 718
förf.	förf	 496
Nord. bokh.	Nordiska bokhandel	 494
Fosterl.-stift.	Fosterl.-stift	 479
Sv. missionsförb.	Svenska missionsförb	 472
Romanförl.	Roman	 471
Nord. bokh. i distr.	Nordiska bokhandel i distr	 467
Rabén & Sjögren	Raben & Sjögren	 437
Centraltr.	Centraltr	 410
Fören.	Fören	 393
A. V. Carlson	A.V. Carlson	 377
Nils-Georgs musikförl.	Nils-Georgs musik	 370
Wettergren & Kerber	Wettergren & Coerber	 350
[Seelig]	Seelig	 339
Gehrmans musikförl.	Gehrmans musik	 335
Sv. andelsförl.	Svenska andels	 311
Lundequistska bokh.	Lundeqvistska bokhandel	 305
Koop. förb.	Koop. förb	 292
Örebro missionsfören.	Örebro missionsfören	 279
Gleerupska univ.-bokh.	Gleerupska universitetsbokhandel	 278
Fahlcrantz & Gumælius	Fahlcrantz & Gumälius	 267
Hæggström	Häggström	 261
Holmquists boktr.	Holmqvists boktr	 257
Bonniers	Bonnier	 252
utg.	utg	 250
C. W. K. Gleerup	C.W.K. Gleerup	 244
P. A. Norstedt & S:r	P.A. Norstedt & Söner	 241
Nord. förl.	Nordiska	 239
Natur och Kultur	Natur & Coultur	 235
Medén	Meden	 228
Nord. rotogravyr.	Nordiska rotogravyr	 226
Fritzes bokf.	Fritzes bokf	 206
Palmquist	Palmqvist	 198
Fröléen	Fröleen	 198
Sv. bokförl.	Svenska bok	 196
Förb.	Förb	 191
[förf.]	förf	 188
Norstedts	Norstedt	 185
[Fören.]	Fören	 184
Åhlén & söner	Åhlen & söner	 180
Holmquist	Holmqvist	 171
Åhlén & Åkerlund :;Bonnier	Åhlen & Åkerlund	 170
Exp.	Exp	 167
[Kungl. tryckeriet]	 tryckeriet	 159
Norblads bokh.	Norblads bokhandel	 159
Akad. bokh.	Akademiska bokhandel	 154
Gleerupska bokh.	Gleerupska bokhandel	 152
Missionsförb.	Missionsförb	 145
Kooperativa förb.	Kooperativa förb	 144
Fritzes bokh.	Fritzes bokhandel	 143
Utrikespolitiska institutet :;Kooperativa förb. [distributör]	Utrikespolitiska institutet	 142
SKD	Svenska kyrkans diakonistyrelse	 137
Pingvinförl.	Pingvin	 135
B.-M:s bokförl.	B.-M:s bok	 132
Fritzes bokförl.	Fritzes bokf	 129
C. E. Fritzes bokf.-a.-b.	C.E. Fritzes bokf.-a.-b	 124
[Fritzes bokf.]	Fritzes bokf	 124
Nordiska musikförl.	Nordiska musik	 124
Sv. kyrkans diakonistyrelse	Svenska kyrkans diakonistyrelse	 123
K. boktr.	K. boktr	 123
Ehrling & Löfvenholm	Ehrling & Lövenholm	 119
Fosterlands-stift.	Fosterlandsstift	 119
Nordiska bokhandeln	Nordiska bokhandel	 119
I. Hæggström	I. Häggström	 119
Svenska missionsförb.	Svenska missionsförb	 119
Sällsk.	Sällsk	 118
[Nord. bokh.]	Nordiska bokhandel	 114
Sv. allmogeförl.	Svenska allmoge	 114
Fram.	Fram	 109
Sv. alliansmissionen	Svenska alliansmissionen	 109
B.-M:s bokf.	B.-M:s bok	 106
Kooperativa förbundet	Kooperativa	 105
[Utg.]	Utg	 105
F. & G. Beijers Bokf.-aktb.	F. & G. Beijers Bokf.-aktb	 103
Sv. bokförl. (Norstedt)	Svenska bok	 103
Sv. bokförl. (Bonnier)	Svenska bok	 102
Sv. visförl.	Svenska vis	 101
Looström & K.	Looström & Co	  99
C. W. K. Gleerup.	C.W.K. Gleerup	  99
Ed. Lundén	Ed. Lunden	  96
Nationaltemplarordens förl.	Nationaltemplarorden	  94
K. L. Beckman	K.L. Beckman	  92
Lindstedts bokh.	Lindstedts bokhandel	  90
Nordiska förl.	Nordiska	  88
Nya tr.-a.-b.	Nya tr.-a.-b	  87
Skolförl.	Skol	  86
Nord. rotogravyr	Nordiska rotogravyr	  86
Silén	Silen	  84
Univ.	Univ	  84
Inst.	Inst	  84
C. E. Fritzes hofbokh.	C.E. Fritzes hofbokhandel	  83
Lindstedts univ.-bokh.	Lindstedts universitetsbokhandel	  83
Svenska andelsförl.	Svenska andels	  83
Svenska kyrkans diakonistyr.	Svenska kyrkans diakonistyrelse	  83
Arbetarnes tr.	Arbetarnes tr	  80
C. A. V. Lundholm	C.A.V. Lundholm	  79
Sandbergs bokh.	Sandbergs bokhandel	  75
Litteraturförl.	Litteratur	  75
Sv. tr.-a.-b.	Svenska tr.-a.-b	  75
Svenska kyrkans diakonistyrelses bokförlag	Svenska kyrkans diakonistyrelse	  73
Lelands musikförl.	Lelands musik	  70
Ingeniörsvetenskapsakad.	Ingeniörsvetenskapsakad	  68
Norstedt & S.	Norstedt & S	  68
And. L. Löfströms förl.	And. L. Löfström	  68
Svenska bokförl.	Svenska bok	  67
