Name	Count
Total count: 	2754
Bonnier	523
Norstedt	240
Wahlström & Widstrand	124
Geber	 76
Gleerup	 76
Förf.	 75
Lindblad	 66
B. Wahlström	 65
Åhlén & Åkerlund	 60
[s.n.]	 56
Kongl. tryckeriet	 54
[Förf.]	 49
Almqvist & Wiksell	 47
Natur och kultur	 41
Diakonistyr.	 40
Lindqvist	 40
[Kongl. tryckeriet]	 38
Söderström	 38
Tiden	 33
Utg.	 30
Natur o. kultur	 29
Ljus	 27
Dahlberg	 21
Beijer	 20
Hökerberg	 20
Förb.	 16
Fosterl.-stift.	 16
LT	 16
Nord. bokh. i distr.	 16
Rabén & Sjögren	 16
Schildt	 16
förf.	 13
Skoglund	 12
Forum	 11
Sv. missionsförb.	 11
utg.	 11
Almqvist & Wiksell/Geber	 10
Chelius	 10
Filadelfia	 10
Fram	 10
Harrier	 10
Romanförl.	 10
Åhlén & söner	  9
Fören.	  9
Fosterlandsstift	  9
Fritze	  9
Nils-Georgs musikförl.	  9
Seelig	  9
[förf.]	  8
Flodin	  8
Folket i bild	  8
Natur och Kultur	  8
Saxon & Lindström	  8
[Fören.]	  7
Arbetarkultur	  7
Björck & Börjesson	  7
Lindarna	  7
Nord. bokh.	  7
Nord. förl.	  7
Southern Music	  7
Sv. bokförl.	  7
Wennerberg	  7
Åhlén & Åkerlund :;Bonnier	  6
Fritzes bokf.	  6
Malmgren	  6
S. Flodin	  6
Svenska bokförl.	  6
[Seelig]	  5
Centraltr.	  5
Förf:n	  5
Gummesson	  5
Holmquist	  5
Holmquists boktr.	  5
Koop. förb.	  5
Norstedts	  5
Örebro missionsfören.	  5
Sv. andelsförl.	  5
[Fritzes bokf.]	  4
Alb. Bonnier	  4
B.-M:s bokförl.	  4
Bonnier ;;Schildt	  4
Brevskolan	  4
Frälsningsarmén	  4
Fritzes bokh.	  4
Gumpert	  4
Missionsförb.	  4
Nord. rotogravyr.	  4
s.n.	  4
Sv. kyrkans diakonistyrelse	  4
[Fören. (V. Trädgårdsg. 10)]	  3
[Kungl. tryckeriet]	  3
[s.n.].	  3
[utg.]	  3
[Utg.]	  3
Almqvist & Wiksell :;Natura :;Lewis & Co. :;C. Klincksieck	  3
Augustana Book Concern	  3
Fahlcrantz & Gumælius	  3
Frälsningsarméns högkvarter	  3
Fröléen	  3
Gleerup.	  3
Gleerupska univ.-bokh.	  3
Hierta	  3
Johnson	  3
Magn. Bergvall	  3
Munksgaard	  3
Norblads bokh.	  3
Nordin & Josephson	  3
Nordiska bokhandeln	  3
