gatherings,obl,mean.width,mean.height,n
1to,FALSE,53,89,1273
2fo,FALSE,41.5,95,1858
4to,FALSE,NA,23.5714285714286,32062
4to,TRUE,23.5714285714286,NA,2
6to,FALSE,NA,NA,29
8long,FALSE,NA,20.59375,14
8vo,FALSE,NA,20.59375,25158
8vo,TRUE,20.59375,NA,3
12long,FALSE,NA,NA,1
12mo,FALSE,NA,NA,3308
16mo,FALSE,NA,NA,1605
18mo,FALSE,NA,NA,95
24mo,FALSE,NA,18,171
32mo,FALSE,NA,NA,32
48mo,FALSE,NA,NA,7
64mo,FALSE,NA,NA,35
NA,FALSE,16.4833333333333,24.1256245268736,320113
NA,TRUE,24.1256245268736,16.4833333333333,5
