Name	Count
Total count: 	92
Sverige	8
Karlskrona	5
Sachsen	3
Danmark	2
Eskilstuna	2
Marstrand	2
Norrköping	2
Ringarum	2
Södertälje kanal	2
Ångermanland	1
Arvika;Oskarström	1
Åsele lappmark	1
Balingsta	1
Blasieholmen	1
Brandenburg	1
Danmark;Rügen	1
Falun;Dalarna;Bispberg;Bergslagen	1
Förenta staterna	1
Fredrikshamn;Kristiania;Kristiansand	1
Gårdeby	1
Göta kanal	1
Hällefors	1
Jämtlands län	1
Karlskoga	1
Kopparbergs län	1
Krim	1
Kristinehamn	1
Kurland	1
Kurland;Riga	1
Leipzig	1
Lettland;Kurland;Ryssland;Polen	1
Medelplana;Västerplana	1
Mogata	1
Norrbärke	1
Örslösa	1
Östra Harg	1
Östra Ryd	1
Östra Stenby	1
Polen;Pozna;Sachsen;Ryssland	1
Pulkkila	1
Ramsta	1
Rome	1
Rügen;Svenska Pommern	1
Russia	1
Ryssland;Östersjön	1
Saint-Barthélemy	1
Sankt Petersburg	1
Säter	1
Söderhamn;Hudiksvall;Sundsvall;Härnösand;Umeå;Piteå;Luleå	1
Söderköping	1
Södermanland	1
Stäket	1
Stockholm	1
Stora Skedvi	1
Sunne (Jämtland)	1
Svenska Pommern	1
Sverige och Brandenburg;Frankrike	1
Sverige och Preussen;Svenska Pommern	1
Sverige och Sachsen	1
Sverige;Frankrike	1
Sverige;Tyskland	1
Sweden	1
Tallinn	1
Tammerfors	1
Tjärstad	1
Tornedalen	1
Tunhem	1
Tysk-romerska riket;Osmanska riket	1
Tyskland;Wismar	1
Uddevalla	1
Vanäs udde	1
Västernorrlands län;Gästrikland;Hälsingland;Medelpad;Ångermanland	1
Visby	1
