Name	Count
Total count: 	3106
Skatter	58
Böner	33
Geografi	33
Tal	31
Fartyg	28
Bönedag	27
Handel	27
Lantbruk	26
Livsmedel	26
Brännvin	25
Officerare	25
Tullväsen	25
Ekonomiska förhållanden	24
Handelssjöfart	23
Nationalekonomi	21
Soldater	21
Varutransport	21
Furstliga personer	20
Sjöfart	20
Spannmål	20
Böndagar	19
Böndagsplakat	19
Järn	19
Penningväsen	19
Tulltaxa	18
Manufakturer	17
Import	16
Gärder	15
Varuskatt	15
Varutillverkning	15
Allmän ordning och säkerhet	14
Krig	14
Stora nordiska kriget 1700-1721	14
Tjänstemän	14
Domstolar	13
Eder	13
Hemman	13
Indelningsverket	13
Pensioner	13
Persontransporter	13
Straff	13
Transporter	13
Alkohollagstiftning	12
Lantmilitiestaten	12
Matpriser	12
Brandförsvar	11
Tacksägelser	11
Tro- och huldhetseder	11
Adel	10
Ämbetseder	10
Fastighet	10
Hushåll	10
Interimsregering	10
Jordbruk	10
Postverket	10
Riksbanken	10
Skjutsväsen	10
Tobak	10
Vävnad	10
Adelsståndet	 9
Åkerbruksväxter	 9
Allmänna brandförsäkringsverket	 9
Böter	 9
Brandförsäkring	 9
Försäkring	 9
Hästar	 9
Husdjur	 9
Inkvartering	 9
Inkvartering (militärväsen)	 9
Överflödsförordningar	 9
Postbefordran	 9
Rättegång	 9
Skogsbruk	 9
Tjänstefolk	 9
Charta sigillata	 8
Fredsfördrag	 8
Insamlingar	 8
Kläder	 8
Krigsmakten till lands	 8
Levnadssätt	 8
Präster	 8
Rättegångar	 8
Rättegångsverken	 8
Rikets ständers beslut	 8
Riksdagen 1765-1766	 8
Skjuts	 8
Tyger	 8
Acciser	 7
Ämbetsmän	 7
Banklån	 7
Bevillning	 7
Bönder	 7
Ecklesiastikstaten	 7
Fast egendom	 7
Fattigvård	 7
Freds- och förbundsslut	 7
Hästkreatur	 7
Krigsartiklar	 7
Krogar	 7
Kungl. Maj:ts och kronans gods	 7
Privilegier	 7
Sjukhus	 7
Skattläggning	 7
Städer	 7
Vadstena krigsmanshus	 7
Artilleri	 6
Arvs- och giftorätt	 6
Bankväsen	 6
Barn	 6
Bergsbruk	 6
Boställen	 6
Brännerier	 6
Ceremonier	 6
Diskonter	 6
Ek	 6
Export	 6
Fisk	 6
Hantverk	 6
Jakt	 6
Kollekt- och stamboksmedel	 6
Krigsmakten till sjöss	 6
Kyrkor	 6
Lantbruket	 6
Prästeståndet	 6
Resenärer	 6
Riddarhuset	 6
Riksdagen 1746-1747	 6
Samlag	 6
Sedelmynt	 6
Statsskuld	 6
Sveriges och Norges förening	 6
Textilier	 6
Tillgrepp	 6
Tionde	 6
Uppbyggelselitteratur	 6
Uppfostringsverket	 6
Arvsrätt	 5
Bedrägeri	 5
Bondeståndet	 5
Dödsstraff	 5
Fiske	 5
