Name	Count
Total count: 	1737 (out of 385771ie. 0.5%)
Teknisk tidskrift	5
Byggnadsarbetaren	3
Svenska kyrkans tidning	3
Acta pædiatrica Scandinavica	2
Allmän hälso- och sjukvård	2
Byahornet, Skåneland	2
Djurvännernas tidning (1928)	2
Evangelii härold	2
Femtital	2
FIB : Folket i bild	2
Folk och samhälle	2
Från stad och bygd i Medelpad	2
Frisksport	2
Grafiskt forum	2
Hem i Sverige	2
Köpmannen	2
Levande livet	2
Mål och medel	2
Socialt forum	2
Statistiska meddelanden. Ser. E, Uppgifter om bankerna	2
Svensk fastighetstidning	2
Svensk motortidning	2
Yrkesfiskaren	2
138-153 = Meddelande från Lunds observatorium	1
4H-journalen	1
99-0444503-6	1
Å & Å-kontakt	1
ÅÅinformation	1
Aarbøger for nordisk oldkyndighed og historie	1
ABB review	1
ABC (Stockholm. 1939)	1
Åbo nya tidningar	1
ABU-nytt	1
Accent (Johanneshov)	1
Acta Academiae Aboensis. Ser. A. Humaniora	1
Acta Academiae Regiae Gustavi Adolphi	1
Acta agriculturæ Scandinavica	1
Acta agriculturae Scandinavica. Section A, Animal science;Acta agriculturae Scandinavica. Section B, Soil and plant science;Acta agriculturae Scandinavica. Section C, Food economics	1
Acta chirurgica Scandinavica	1
Acta chirurgica. Supplement	1
Acta neurologica Scandinavica;Acta psychiatrica Scandinavica	1
Acta obstetricia et gynecologica Scandinavica	1
Acta ophthalmologica Scandinavica	1
Acta orientalia	1
Acta Orthopaedica. Supplementum	1
Acta pathologica, microbiologica et immunologica Scandinavica. Section A. Supplement;Acta pathologica, microbiologica et immunologica Scandinavica. Section B. Supplement;Acta pathologica, microbiologica et immunologica Scandinavica. Section C. Supplement	1
Acta pharmaceutica Suecica;Läkemedelsvärlden	1
Acta physiologica (Print)	1
Acta physiologica Scandinavica	1
Acta polytechnica Scandinavica	1
Acta Polytechnica Scandinavica, Chemistry Including Metallurgy Series	1
Acta polytechnica Scandinavica. Electrical engineering series	1
Acta polytechnica Scandinavica. Mechanical engineering series	1
Acta polytechnica. Physics including nucleonics series	1
Acta psychiatrica et neurologica Scandinavica	1
Acta psychiatrica et neurologica Scandinavica. Supplementum	1
Acta radiologica. Diagnosis;Acta radiologica. Therapy, physics, biology	1
Acta Regiae Societatis scientiarum et litterarum Gothoburgensis. Botanica;Acta Regiae Societatis scientiarum et litterarum Gothoburgensis. Geophysica;Acta Regiae Societatis scientiarium et litterarum Gothoburgensis. Zoologica	1
Acta Seminarii neotestamentici Upsaliensis	1
Acta Societatis linguisticae Upsaliensis	1
Acta Societatis medicorum Upsaliensis	1
Acta tuberculosea et pneumologica Scandinavica. Supplementum	1
Acta Universitatis Lundensis. Sectio 1. Theologica, juridica, humaniora	1
Acta universitatis Lundensis. Sectio 2, Medica, mathematica, scientiae rerum naturalium	1
Acta Universitatis Upsaliensis	1
Adresskalender över Sveriges skolkommuner	1
Advokaten	1
Affärsekonomi	1
Affärsvärlden (Stockholm. 1901);Affärsvärlden. Finanstidningen	1
AGA nyheter	1
AGA-Baltic nyheter	1
AGA-gasetten	1
AGB-nytt	1
Aika (Helsingfors, 1906);Valvoja-Aika	1
Åkeri & transport (1977)	1
Aktstycken / utgivna av Kungl. Utrikesdepartementet. Ny serie. I:A;Aktstycken / utgivna av Kungl. Utrikesdepartementet. Ny serie. I:B;Aktstycken / utgivna av Kungl. Utrikesdepartementet. Ny serie. I:C;Aktstycken / utgivna av Kungl. Utrikesdepartementet. Ny serie. I:D;Aktstycken / utgivna av Utrikesdepartementet. Ny serie. I:E;Aktstycken / utgivna av Kungl. Utrikesdepartementet. Ny serie. II	1
Aktuell information från Stockholms arbetarekommun	1
Aktuellt (Stockholm. 1973);MED;Församlings- och pastoratsförvaltning;Svenska kyrkans tidning	1
Aktuellt från Bonnierföretagen	1
Aktuellt från Folkpartiet i Fyrstadskretsen	1
Aktuellt måleri	1
