Name	Count
Total count: 	1467
Der kleine Katechismus.	61
Histoire de Charles XII.	41
Histoire de Charles XII	29
Arcana coelestia.	22
Pilgrim's progress.	17
Revelationes.	15
Sammlung interessanter und durchgängig zweckmässig abgefasster Reisebeschreibungen für die Jugend.	11
The Beggar Girl and her Benefactors.	10
Aeneis.	 9
Edda.	 9
Metamorphoses.	 9
Amoenitates academicae	 8
Kriget mellan Sparta och Athen	 8
Chronik des neunzehnten Jahrhunderts.	 7
Histoire moderne des chinois, des japonnois, des indiens, des persans, des turcs, des russiens, &c.	 7
Seelenschatz.	 7
The history of the decline and fall of the Roman Empire.	 7
Camilla, or, A Picture of Youth.	 6
Der Geisterseher.	 6
Erleichterte lateinische Grammatica ...	 6
Heimskringla.	 6
Henriette Bellmann.	 6
Histoire romaine depuis la fondation de Rome jusqu'à la bataille d'Actium: c'est-à-dire jusqu'à la fin de la république.	 6
Odysséen.	 6
Regula Salvatoris.	 6
Resa till Goda Hopps-udden.	 6
Robinson Crusoe.	 6
Systema naturae.	 6
Annalen der brittischen Geschichte des Jahres 1792.	 5
Der kleine Katechismus	 5
Élise Duménil.	 5
Interessante Lebensgemälde der denkwürdigsten Personen des achtzehnten Jahrhunderts.	 5
Regeringsformen (1809)	 5
Reise des Amtmanns Waumann, des Försters Dornbusch und Ehrn Schottenii von Biesterberg nach *** zur Gevatterschaft.	 5
The forest of Hohenelbe.	 5
Agnes von Lilien.	 4
Aisopos fabler.	 4
Anmärkningar om brännvin	 4
Annalen der brittischen Geschichte des Jahres 1791.	 4
C. F. Gellerts Moralische Vorlesungen.	 4
Don Quixote.	 4
Frithiofs saga	 4
Frithiofs saga.	 4
Geschichte des weiblichen Geschlechts.	 4
Geschichte Peter Clausens.	 4
Iliaden.	 4
Naturmensch.	 4
Natur-Wunder und Länder-Merkwürdigkeiten	 4
Översättning efter.	 4
Philosophie for Ulærde.	 4
Rinaldo Rinaldini, der Räuber-Hauptmann.	 4
Species plantarum	 4
Syv aar.	 4
The history of Miss Betsy Thoughtless	 4
The recess.	 4
Vera Christiana religio.	 4
Weltgeschichte.	 4
Zuchtspiegel aller christlichen jungen Gesellen und Jungfrauen.	 4
Anmärkningar om öl	 3
Backanaliska kväden.	 3
Beicht- und Communion-Buch.	 3
Betrachtungen über die vornehmsten Wahrheiten der Religion.	 3
Beyspiele des Guten. Eine Sammlung edler und schöner Handlungen und Charakter-Züge aus der Welt- und Menschen-Geschichte aller Zeiten und Völker. Der Jugend und ihren Freunden gewidmet.	 3
Bref, rörande en resa till Island.	 3
Collegium pastorale practicum, indeholdende en fornøden Underviisning, Advarsel, Raadførelse og Opmuntring for dennem, som enten berede sig til at tiene Gud og Næsten i det hellige Præste-Embede, ...	 3
Considérations sur les principaux événemens de la révolution françoise.	 3
D. August Hermann Niemeyers Handbuch für christliche Religionslehrer.	 3
De l'Homme et de la femme, considérés physiquement dans l'état du mariage.	 3
Der Bey-nahe Christ geoffenbahret.	 3
Der grosse Katechismus.	 3
Der philosophische Arzt.	 3
Die Schöpfung.	 3
Die specielle Therapie.	 3
Doctrina Novae Hierosolymae de Domino.	 3
En svensk adelsmans äventyr.	 3
Fauna Svecica	 3
Flora Svecica	 3
Förslag till vårt mynts och måls indelning	 3
Geschichte der europaeischen Staaten seit dem Frieden von Wien.	 3
Grasville abbey.	 3
Grundsätze der rationellen Landwirthschaft.	 3
Handbuch der Religion.	 3
Heimskringla	 3
Histoire des conjurations, conspirations et révolutions célebres, tant aciennes que modernes.	 3
Köstlicher Honigtropfen aus dem Felsen Christi.	 3
Leben des C. Julius Cäsar.	 3
Leben Peters des Grossen.	 3
Metamorphoses	 3
Musæ suethizantes	 3
Neue Sammlung merkwürdiger Reisebeschreibungen für die Jugend.	 3
Ólafs saga Tryggvasonar.	 3
Opera philosophica et mineralia.	 3
Reise durch Schweden im Jahre 1804.	 3
Sapientia angelica de divina providentia.	 3
Tal om märkvärdigheter uti insekterna	 3
The Children of the Abbey.	 3
The history of America.	 3
Urval.	 3
Vitae excellentium imperatorum.	 3
Wunderbare Reisen zu Wasser und Lande, Feldzüge und lustige Abenteuer des Freiherrn von Münchhausen.	 3
Zwölff geistliche Andachten.	 3
A dissertation on the gout, and all chronic diseases, jointly considered, as proceeding from the same causes : what those causes are, and a rational and natural method of cure proposed : addressed to all invalids.	 2
Aline, reine de Golconde.	 2
Allgemeines Lesebuch für den Bürger und Landmann vornehmlich zum Gebrauch an Stadt- und Landschulen.	 2
Allgemeines ökonomisch-chemisch-technologisches Haus- und Kunstbuch.	 2
Allgemeines Vieharzneibuch, oder Unterricht, wie der Landmann seine Pferde, sein Rindvieh, seine Schafe, Schweine, Ziegen und Hunde aufziehen, warten und füttern, und ihre Krankheiten erkennen und heilen soll.	 2
Anabasis	 2
Anabasis.	 2
Annales.	 2
Begyndelses-Grunde til Naturelæren.	 2
Betragninger over de aarlige Søn- og Helligdags Evangelier.	 2
Brevis introductio ad historiam politicam in usum incipientum adcurata.	 2
C. G. A. Oldendorps Geschichte der Mission der Evangelischen Brüder auf den Caraibischen Inseln S. Thomas, S. Croix und S. Jan.	 2
Characters and anecdotes of the court of Sweden.	 2
Christliches Gedenkbüchlein.	 2
Christliches Lehrbuch für die Jugend.	 2
De bello gallico	 2
Der aufrichtige Cabinet-Prediger Welcher bey abgelegten Visiten Hohen und Niedrigen Standes-Persohnen Ihre Laster, Fehler und Anliegen, nebst dem heutigen verkehrten Welt-Lauffe, In Hundert Sententiösen und annehmlichen Discours-Predigten ...	 2
Der Tod Jesu.	 2
De vita Iulii Agricolae.	 2
Doctrina Novæ Hierosolymæ de Scriptura Sacra.	 2
Domestic medicine or, a Treatise on the prevention and cure of diseases, by regimen and simple medicine.	 2
Edda	 2
Elementa rhetorica.	 2
Eltern und Kinder Seelen Rettung, vor diesem weitläufftig geprediget.	 2
Erinnerungen von einer Reise aus Liefland nach Rom und Neapel.	 2
Essai sur l'esprit et l'influence de la réformation de Luther.	 2
Et Ord til Syndere, og et Ord til de Hellige.	 2
Evangelische Gnaden-Ordnung.	 2
Exposición des los hechos y maquinaciones que han preparado la usurpación de la corona de España.	 2
Forsøg til en Dansk Haugebog.	 2
Fragmente aus Paris im IVten Jahr der Französischen Republik.	 2
Funkes ausfühlicher Text zu Bertuchs Bilderbuch für Kinder.	 2
Genera plantarum	 2
Genera plantarum.	 2
Geschichte und Schriften der Aposteln Jesu.	 2
Gottesvertheidigung ueber die Zulassung des Bösen auf unserer Erde nach der heiligen Schrift.	 2
Guds Børns daglige Adgang til Naade-stolen, eller udvalgte Morgen- og Aften-Bønner paa alle Dage i Ugen, til Nytte for alle dem, der ville paakalde Gud i Aand og Sandhed.	 2
Hákonar saga Hákonarsonar.	 2
Hamlet.	 2
Handbuch der klassischen Literatur.	 2
Historia delle guerre civili di Francia.	 2
Historische Entwickelung der Schicksale der christlichen Kirche und Religion.	 2
History of the reign of the Emperor Charles V.	 2
Informatorium biblicum.	 2
Joachim Christoph Brackes Predigtentwürfe über die evangelischen Texte.	 2
Klinisches Taschenbuch für Praktische Aerzte.	 2
Kurze Geschichte der merkwürdigsten Begebenheiten des 18. Jahrhunderts.	 2
La clemenza di Tito.	 2
L'art de conserver pendant plusieurs années toutes les substances animales et végétales.	 2
L'économie de la vie humaine.	 2
Lehrbuch der allgemeinen Weltgeschichte zum Gebrauche bey dem erstem Unterrichte der Jugend.	 2
Le Plutarque des jeunes demoiselles.	 2
Les Avantures de Télémaque, fils d'Ulysse.	 2
Lettres sur l'Italie, écrites en 1785.	 2
Ludus Heliconius	 2
Materia medica	 2
Memoires of a Magdalen, or the history of Louisa Mildmay.	 2
Merkværdige Exempler paa de hellige Martyrers svare Lidelser og seyerrige Troe og Taalmodighed udi de ti store Forfølgelser som under den Hedenske Øvrighed udi i de trende første hundrede Aar efter Christi Fødsel overgik Christenheden.	 2
M. Johann Quirsfelds Himmlische Garten-Gesellschafft.	 2
Mount Henneth.	 2
Mythologie comparée avec l'histoire.	 2
Oförgripliga tankar om svenska myntets förnedring och förhöjning	 2
Om vattnens höjd och förra världens starka ebb och flod	 2
Orfeo ed Euridice.	 2
Over Saedens Udgydelser i Søvne.	 2
Paradiesgärtlein.	 2
Paradise lost	 2
Philosophia botanica	 2
Prædikener paa alle Søn- og Hellig-Dage i Aaret.	 2
Praktische französische Grammatik.	 2
Regeringsformen (1720)	 2
Regeringsformen (1809).	 2
Regnum Vegetabile.	 2
Regula Salvatoris	 2
Reise durch Schweden.	 2
Reisen und sonderbare Schicksale des Ritters la Salle, eines französ. Seeoffiziers von den Geschwader des Herrn La Peyrouse nebst Bericht von dessen Aufenthalt in Nigritien und an den afrikanischen Küsten.	 2
Reise um die Welt in den Jahren 1803, 1804, 1805 und 1806 auf Befehl seiner kaiserlichen Majestät Alexander des Ersten auf den Schiffen Nadeshda und Newa.	 2
Reise von Paris durch das südliche Frankreich bis Chamouny.	 2
Resa till Italien 1780, 1781, 1782	 2
Rön om växters plantering	 2
Schwedens Kirchenverfassung und Unterrichtswesen.	 2
Siegfried von Lindenberg.	 2
Tableau des révolutions de l'Europe : depuis le bouleversement de l'empire d'Occident jusqu'a nos jours.	 2
Tableau historique et politique de l'Europe, depuis 1786 jusqu'en 1796.	 2
Teckningar ur vardagslivet	 2
The curiosities of common water.	 2
The story of Lady Juliana Harley	 2
