Name	Count
Total count: 	1684
Almanacka	11
Visor, Världsliga	 5
En nyckfull kvinna	 4
Manuale Sveticum.	 4
Protokollsutdrag från kamrarne	 4
Kongl. Maj:ts proposition n:o 1, angående statsverkets tillstånd och behof, med dertill hörande bilagor	 3
Protokoll, hållna hos högwördiga prestståndet wid riksdagen i Stockholm år 1809	 3
Visor, Andliga.	 3
1-2	 2
1701-07-09	 2
1789-05-15	 2
Allmän musiklära	 2
Altartavlan	 2
Andeskådaren	 2
Boken om San Michele	 2
En natt vid Bullarsjön	 2
Engelsk grammatik	 2
Evangelier och epistlar 1707 Sthlm Enaeus.	 2
Fribytaren på Östersjön	 2
Grannarna	 2
Janne Vängman i farten	 2
Kärlekskatekes för gossar	 2
N:is 1-16	 2
Noveller	 2
Samling 2. Bd 2. Justitieombudsmannens och militieombudsmannens ämbetsberättelser	 2
Scandinavia	 2
Thesauro catechetico. ...	 2
Werke	 2
- Constitutionum academicarum, cap. XXIII.;Uppsala. Universitet	 1
. Första delen. 1759. 288 s. =(s. 287 opag. rättelser)=.; [1] pl. förtitelbl.	 1
. Första delen. 1780. (1781.) 82 s., s. 97-136, 145-190.	 1
(1:a Förteckning å de ifrån början af sistlidne riksdag ifrån kongl. maj:ts justitiæ-revisions-expedition utfärdade lagförklaringar. =(Rubr.)= (Stockholm, P.A. Norstedt & söner.) 40 s.	 1
(11:te häftet.) Fortsättning från pag. 448 af rättegångs- handlingarne i målet, rörande Sala stad. =(Rubr.)= (Stockholm, tryckt hos C.F. Berglund, 1820. /f.d. Marquardska boktryckeriet./) S. ii513-514, s. 515-538.	 1
(13:de N:o 49. Betänkande, i anledning af åtskilliga motioner om ändring af 17 cap. handels-balken och 20 cap. ärfda-balken. =(Rubr.)= (Stockholm, Elméns och Granbergs tryckeri, 1829.) 48 s.	 1
(14:de häftet.) N:o 54. ... Memorial, med förslag till sammanjemkning af riks-ståndens beslut angående stora sjötulls-bevillningen ... =(Rubr.)= (Stockholm, tryckt i Ecksteinska boktryckeriet, 1829.) 82 s.	 1
(17:e N:o 68. ... Utlåtande, i anledning af gjord hemställan om en förändrad indelning af båtsmans-rotarne på Öland. =(Rubr.)= (Stockholm, tryckt i Marquardska boktryckeriet, 1829.) 38 s.	 1
(18:e N:o 47. ... Utlåtande ... angående grunderne och vilkoren för hemmans klyfning samt afsöndring af jord eller andra lägenheter från hemman. =(Rubr.)= (Stockholm, P.A. Norstedt & söner, 1829.) 32 s.	 1
(2:a N:o 80. ... Utlåtande ... om rättelse eller jemkning i afseende på roteringens utgörande i Upland. =(Rubr.)= (Stockholm, tryckt i Marquardska boktryckeriet, 1829.) 24 s.	 1
(2:dra häftet B.) Den 5 januarii 1829. Från höglofl. ridderskapet och adeln. =(Rubr.)= (Stockholm, tryckt hos Joh. Hæggström, 1829.) 116 s.	 1
(2:dra häftet.) N:o 57. ... Betänkande, med förslag till fördelning af allmänna bevillningen samt till en blifvande bevillnings-förordning. =(Rubr.)= (Stockholm, tryckt i Ecksteinska tryckeriet, 1829.	 1
(21:sta N:o 48. ... Memorial, med anmälan af oförenliga skiljaktigheter i fråga om ett föreslaget tillägg vid 14 §. 5 mom. riksdags-ordningen. =(Rubr.)= (Stockholm. Elméns och Granbergs tryckeri, 1829.) 18 s.	 1
(3:dje häft.) N:o 84. ... Utlåtande öfver herr friherre C.H. Anckarsvärds memorial, angående Sveriges försvars-anstalter ... =(Rubr.)= (Stockholm, hos Carl Ab. Pihl, 1829.) 36 s.	 1
(3. häft.) N:o 4. Memorial till rikets ständer, angående återlemnandet af remitterad motion om tids-bestämmelse för riksdagsmannavalen. =(Rubr.)= (Stockholm, C.M. Carlson, 1829.) 08 s.	 1
(4:de N:o 6. Betänkande, öfver herr Fredric Leonard Rosenqvists förslag om tillägg till 27 capitlet 9 §. rättegångsbalken. =(Rubr.)= (Stockholm, Elméns och Granbergs tryckeri, 1829.) 30 s.	 1
(Häft. II.) (1827.) S. 27-56.	 1
